timestamp,city,temperature,description
2025-10-24T10:41:45.675Z,London,11,few clouds
2025-10-24T10:47:53.657Z,London,11.04,few clouds
2025-10-24T10:51:12.222Z,London,11,few clouds
2025-10-24T10:55:48.218Z,London,11.22,few clouds
2025-10-24T11:03:32.671Z,London,11.41,few clouds
2025-10-24T11:06:52.885Z,London,11.46,few clouds
2025-10-24T12:53:32.319Z,London,12.46,scattered clouds
2025-10-24T13:20:14.728Z,London,12.47,broken clouds
2025-10-24T13:37:49.973Z,London,12.6,broken clouds
2025-10-24T13:50:28.251Z,London,12.57,broken clouds
2025-10-24T14:25:58.541Z,London,12.85,broken clouds
2025-10-24T16:31:17.049Z,London,11.58,scattered clouds
2025-10-24T18:33:13.136Z,London,10.22,few clouds
2025-10-24T20:27:26.552Z,London,10.07,scattered clouds
2025-10-24T22:23:40.077Z,London,10.14,broken clouds
2025-10-25T01:52:28.254Z,London,8.6,broken clouds
2025-10-25T03:07:18.697Z,London,8.66,broken clouds
2025-10-25T04:27:17.715Z,London,9.3,broken clouds
2025-10-25T06:33:17.634Z,London,9.49,broken clouds
2025-10-25T08:28:51.207Z,London,9.92,broken clouds
